EventNameEnglish,EventNameFrench,PollingDate,ElectoralDistrictNumber,ElectoralDistrictNameEnglish,ElectoralDistrictNameFrench,NumberOfCandidates,NumberOfNamesRegistered,NumberOfNamesRevised,TotalNumberOfNames,RuralPollingPlaces,UrbanPollingPlaces,AdvancePollingPlaces,ValidBallotsFromBoxes,RejectedBallotsFromBoxes,UnmarkedBallotsFromBoxes,DeclinedBallots,VoterTurnoutTotal,VoterTurnoutPercentageOfList,year
2018 General Election,élection générale de 2018,2018-Jun-07,4,Barrie-Innisfil,Barrie-Innisfil,8,79348,3209,82557,0,31,5,44272,121,143,270,44806,0.542728054556246,2018
2018 General Election,élection générale de 2018,2018-Jun-07,5,Barrie-Springwater-Oro-Medonte,Barrie-Springwater-Oro-Medonte,8,77601,3350,80951,0,62,6,45689,68,140,289,46186,0.5705426739632617,2018
2018 General Election,élection générale de 2018,2018-Jun-07,6,Bay of Quinte,Bay of Quinte,7,85564,4760,90324,0,79,9,50442,116,151,287,50996,0.5645896993047252,2018
2018 General Election,élection générale de 2018,2018-Jun-07,7,Beaches-East York,Beaches-East York,11,78737,3649,82386,0,38,5,49914,128,193,149,50384,0.6115602165416454,2018
2018 General Election,élection générale de 2018,2018-Jun-07,8,Brampton Centre,Brampton Centre,7,65173,2259,67432,0,43,5,33598,112,150,89,33949,0.5034553327796891,2018
2018 General Election,élection générale de 2018,2018-Jun-07,9,Brampton East,Brampton East,6,70755,4247,75002,0,26,4,38495,106,124,26,38751,0.5166662222340737,2018
2018 General Election,élection générale de 2018,2018-Jun-07,10,Brampton North,Brampton North,5,74527,3082,77609,0,29,4,39624,85,204,118,40031,0.5158035794817611,2018
2018 General Election,élection générale de 2018,2018-Jun-07,11,Brampton South,Brampton South,7,74114,3165,77279,0,46,4,38169,100,201,128,38598,0.4994629847694716,2018
2018 General Election,élection générale de 2018,2018-Jun-07,12,Brampton West,Brampton West,6,76018,4178,80196,0,22,4,37961,99,112,57,38229,0.4766945982343259,2018
2018 General Election,élection générale de 2018,2018-Jun-07,13,Brantford-Brant,Brantford-Brant,9,99576,3285,102861,0,53,6,58188,155,203,259,58805,0.5716938392588055,2018
2018 General Election,élection générale de 2018,2018-Jun-07,14,Bruce-Grey-Owen Sound,Bruce-Grey-Owen Sound,8,80204,4840,85044,0,89,11,49128,140,190,197,49655,0.583874229810451,2018
2018 General Election,élection générale de 2018,2018-Jun-07,15,Burlington,Burlington,7,98021,2434,100455,0,85,5,63055,155,251,276,63737,0.6344831018864168,2018
2018 General Election,élection générale de 2018,2018-Jun-07,16,Cambridge,Cambridge,5,84587,3793,88380,0,71,5,48131,123,185,323,48762,0.5517311608961303,2018
2018 General Election,élection générale de 2018,2018-Jun-07,17,Carleton,Carleton,9,76974,4927,81901,0,33,5,50258,128,217,176,50779,0.6200046397479884,2018
2018 General Election,élection générale de 2018,2018-Jun-07,18,Chatham-Kent-Leamington,Chatham-Kent-Leamington,5,80140,2659,82799,0,87,9,46373,176,238,233,47020,0.5678812546045242,2018
2018 General Election,élection générale de 2018,2018-Jun-07,19,Davenport,Davenport,9,77300,5624,82924,0,47,5,45819,159,228,83,46289,0.5582099271622208,2018
2018 General Election,élection générale de 2018,2018-Jun-07,20,Don Valley East,Don Valley East,6,64183,2009,66192,0,62,5,36217,107,159,71,36554,0.5522419627749576,2018
2018 General Election,élection générale de 2018,2018-Jun-07,21,Don Valley North,Don Valley North,6,73257,2954,76211,0,81,5,40607,135,166,102,41010,0.5381112962695673,2018
2018 General Election,élection générale de 2018,2018-Jun-07,22,Don Valley West,Don Valley West,6,71770,3621,75391,0,48,5,45777,78,170,167,46192,0.6126991285431947,2018
2018 General Election,élection générale de 2018,2018-Jun-07,23,Dufferin-Caledon,Dufferin-Caledon,7,95241,4672,99913,0,48,8,55956,128,256,178,56518,0.5656721347572387,2018
